dataset,category,count,share_pct,question_len_median,complexity_median,multi_step_median,requires_image_pct,top_question_type,top_answer_shape
biology\ai2d_biology,cell_molecular_genetics,574,43.65,8.0,5.826,0.302,100.0,multiple_choice,short_text
biology\ai2d_biology,ecology_food_web_population,426,32.4,13.0,6.307,0.302,100.0,multiple_choice,short_text
biology\ai2d_biology,biology_other,167,12.7,7.0,5.803,0.302,100.0,multiple_choice,short_text
biology\ai2d_biology,plant_biology,59,4.49,7.0,5.71,0.302,100.0,multiple_choice,short_text
biology\ai2d_biology,anatomy_physiology,44,3.35,10.0,6.067,0.302,100.0,multiple_choice,short_text
biology\ai2d_biology,life_cycle_development,43,3.27,9.0,6.006,0.302,100.0,multiple_choice,short_text
biology\ai2d_biology,experimental_graph_data,1,0.08,11.0,6.113,0.302,100.0,multiple_choice,short_text
biology\ai2d_biology,biochemistry_enzymes_metabolism,1,0.08,10.0,6.338,0.302,100.0,multiple_choice,short_text
biology\scemqa_biology,cell_molecular_genetics,28,43.75,92.5,8.45,0.448,67.86,multiple_choice,short_text
biology\scemqa_biology,ecology_food_web_population,17,26.56,56.0,8.0,0.374,100.0,multiple_choice,long_text
biology\scemqa_biology,anatomy_physiology,7,10.94,55.0,8.059,0.302,85.71,multiple_choice,long_text
biology\scemqa_biology,experimental_graph_data,4,6.25,46.0,7.696,0.392,50.0,multiple_choice,long_text
biology\scemqa_biology,plant_biology,2,3.12,113.5,8.66,0.462,50.0,multiple_choice,long_text
biology\scemqa_biology,biochemistry_enzymes_metabolism,2,3.12,23.0,6.273,0.324,50.0,multiple_choice,choice_label
biology\scemqa_biology,biology_other,2,3.12,46.0,7.427,0.372,100.0,multiple_choice,multi_part_text
biology\scemqa_biology,evolution_classification,2,3.12,30.5,6.796,0.32,50.0,multiple_choice,short_text
biology\sciverse_biology,cell_molecular_genetics,126,57.53,81.0,8.468,0.311,100.0,multiple_choice,short_text
biology\sciverse_biology,ecology_food_web_population,31,14.16,118.0,8.657,0.302,100.0,multiple_choice,long_text
biology\sciverse_biology,biology_other,15,6.85,23.0,7.027,0.302,100.0,multiple_choice,short_text
biology\sciverse_biology,experimental_graph_data,13,5.94,31.0,7.458,0.347,100.0,multiple_choice,short_text
biology\sciverse_biology,plant_biology,11,5.02,108.0,8.438,0.302,100.0,multiple_choice,long_text
biology\sciverse_biology,anatomy_physiology,10,4.57,42.0,7.7,0.333,100.0,multiple_choice,numeric_or_unit
biology\sciverse_biology,biochemistry_enzymes_metabolism,7,3.2,145.0,9.151,0.356,100.0,multiple_choice,short_text
biology\sciverse_biology,evolution_classification,5,2.28,80.0,8.743,0.338,100.0,multiple_choice,short_text
biology\sciverse_biology,life_cycle_development,1,0.46,12.0,6.183,0.302,100.0,multiple_choice,short_text
chemistry\emma_chemistry,transition_state_smiles_selection,846,97.92,41.0,7.749,0.37,100.0,multiple_choice,long_text
chemistry\emma_chemistry,chemistry_other,13,1.5,14.0,6.751,0.32,100.0,multiple_choice,short_text
chemistry\emma_chemistry,molecular_structure_identification,5,0.58,29.0,7.671,0.347,100.0,multiple_choice,short_text
chemistry\scemqa_chemistry,stoichiometry_reaction_calculation,32,28.83,38.5,8.052,0.392,96.88,multiple_choice,formula_latex
chemistry\scemqa_chemistry,molecular_structure_smiles_bonds,26,23.42,33.0,7.61,0.347,96.15,multiple_choice,short_text
chemistry\scemqa_chemistry,equilibrium_kinetics_gas,22,19.82,46.5,8.454,0.423,100.0,multiple_choice,short_text
chemistry\scemqa_chemistry,acid_base_solution,9,8.11,32.0,7.424,0.347,88.89,multiple_choice,short_text
chemistry\scemqa_chemistry,periodic_atomic_bonding,6,5.41,17.5,6.308,0.302,100.0,multiple_choice,choice_label
chemistry\scemqa_chemistry,thermochemistry_calorimetry,6,5.41,48.0,8.64,0.392,100.0,multiple_choice,short_text
chemistry\scemqa_chemistry,isomer_stereochemistry_nomenclature,3,2.7,60.0,9.263,0.509,66.67,multiple_choice,short_text
chemistry\scemqa_chemistry,chemistry_other,3,2.7,15.0,5.074,0.302,33.33,multiple_choice,short_text
chemistry\scemqa_chemistry,lab_graph_data_interpretation,2,1.8,16.0,6.441,0.329,100.0,multiple_choice,choice_label
chemistry\scemqa_chemistry,electrochemistry_redox,2,1.8,41.5,7.037,0.378,50.0,multiple_choice,short_text
chemistry\sciverse_chemistry,stoichiometry_reaction_calculation,61,24.7,52.0,7.823,0.356,100.0,multiple_choice,numeric_or_unit
chemistry\sciverse_chemistry,molecular_structure_smiles_bonds,49,19.84,35.0,7.518,0.347,100.0,multiple_choice,short_text
chemistry\sciverse_chemistry,equilibrium_kinetics_gas,43,17.41,60.0,8.708,0.437,100.0,multiple_choice,short_text
chemistry\sciverse_chemistry,thermochemistry_calorimetry,31,12.55,74.0,8.504,0.383,100.0,multiple_choice,numeric_or_unit
chemistry\sciverse_chemistry,acid_base_solution,22,8.91,38.0,7.476,0.333,100.0,multiple_choice,short_text
chemistry\sciverse_chemistry,isomer_stereochemistry_nomenclature,11,4.45,17.0,6.47,0.302,100.0,multiple_choice,numeric_or_unit
chemistry\sciverse_chemistry,lab_graph_data_interpretation,11,4.45,57.0,8.189,0.401,100.0,multiple_choice,formula_latex
chemistry\sciverse_chemistry,electrochemistry_redox,7,2.83,62.0,8.144,0.347,100.0,multiple_choice,numeric_or_unit
chemistry\sciverse_chemistry,periodic_atomic_bonding,6,2.43,17.5,6.198,0.302,100.0,multiple_choice,short_text
chemistry\sciverse_chemistry,chemistry_other,5,2.02,20.0,6.201,0.257,100.0,multiple_choice,numeric_or_unit
chemistry\sciverse_chemistry,organic_reaction_mechanism,1,0.4,59.0,8.01,0.392,100.0,multiple_choice,short_text
circuit\eee_bench,dc_ac_network_analysis,698,34.5,35.0,7.868,0.401,98.71,multiple_choice,numeric_or_unit
circuit\eee_bench,analog_electronics_devices,368,18.19,37.0,7.948,0.401,99.46,multiple_choice,numeric_or_unit
circuit\eee_bench,circuit_other,280,13.84,23.0,7.332,0.365,98.93,multiple_choice,numeric_or_unit
circuit\eee_bench,digital_logic_boolean,226,11.17,25.5,7.391,0.354,98.23,multiple_choice,formula_latex
circuit\eee_bench,signals_systems_filtering,191,9.44,44.0,8.382,0.428,96.86,multiple_choice,numeric_or_unit
circuit\eee_bench,control_systems_transfer_function,143,7.07,33.0,7.785,0.401,100.0,multiple_choice,formula_latex
circuit\eee_bench,sequential_logic_microprocessor,35,1.73,31.0,7.741,0.383,100.0,multiple_choice,numeric_or_unit
circuit\eee_bench,power_machines_transformers,30,1.48,36.0,7.794,0.351,100.0,multiple_choice,numeric_or_unit
circuit\eee_bench,electromagnetics_fields,24,1.19,57.0,8.181,0.441,75.0,multiple_choice,formula_latex
circuit\eee_bench,measurement_instrumentation,17,0.84,29.0,7.762,0.365,100.0,multiple_choice,numeric_or_unit
circuit\eee_bench,power_electronics_converters,11,0.54,30.0,8.069,0.428,100.0,multiple_choice,numeric_or_unit
geography\ai2d_geography,earth_sun_moon_space,118,39.6,9.0,5.983,0.302,100.0,multiple_choice,short_text
geography\ai2d_geography,chart_graph_interpretation,98,32.89,7.0,5.869,0.302,100.0,multiple_choice,short_text
geography\ai2d_geography,geomorphology_geology_hazards,31,10.4,7.0,5.754,0.302,100.0,multiple_choice,short_text
geography\ai2d_geography,geography_other,28,9.4,6.5,5.654,0.302,100.0,multiple_choice,short_text
geography\ai2d_geography,hydrology_ocean_rivers,10,3.36,8.5,5.921,0.302,100.0,multiple_choice,short_text
geography\ai2d_geography,climate_weather_seasons,8,2.68,8.5,5.869,0.302,100.0,multiple_choice,short_text
geography\ai2d_geography,map_topography_location,3,1.01,5.0,5.475,0.302,100.0,multiple_choice,multi_part_text
geography\ai2d_geography,agriculture_resources_environment,2,0.67,4.5,5.516,0.302,100.0,multiple_choice,short_text
geography\geosqa,climate_weather_seasons,372,21.17,57.5,8.892,0.373,100.0,multiple_choice,long_text
geography\geosqa,population_urban_economic,338,19.24,64.0,9.063,0.383,100.0,multiple_choice,long_text
geography\geosqa,chart_graph_interpretation,252,14.34,57.0,8.857,0.373,100.0,multiple_choice,short_text
geography\geosqa,map_topography_location,225,12.81,55.0,8.919,0.382,100.0,multiple_choice,short_text
geography\geosqa,geography_other,165,9.39,49.0,8.624,0.365,100.0,multiple_choice,short_text
geography\geosqa,earth_sun_moon_space,135,7.68,61.0,8.953,0.374,100.0,multiple_choice,long_text
geography\geosqa,hydrology_ocean_rivers,106,6.03,56.5,8.956,0.391,100.0,multiple_choice,long_text
geography\geosqa,agriculture_resources_environment,101,5.75,67.0,9.102,0.391,100.0,multiple_choice,long_text
geography\geosqa,geomorphology_geology_hazards,63,3.59,55.0,9.014,0.392,100.0,multiple_choice,long_text
math\cmm_math,linear_programming_constraints,54,38.03,42.0,6.004,0.365,1.85,multiple_choice,numeric_or_unit
math\cmm_math,geometry_angle_chasing,42,29.58,22.0,5.476,0.374,7.14,multiple_choice,formula_latex
math\cmm_math,algebra_equation_inequality,21,14.79,41.0,5.991,0.383,0.0,multiple_choice,formula_latex
math\cmm_math,coordinate_geometry_transform,18,12.68,29.0,5.687,0.41,0.0,multiple_choice,formula_latex
math\cmm_math,math_other,7,4.93,25.0,5.457,0.338,0.0,multiple_choice,choice_label
math\geometry3k,angle_chasing,500,56.88,12.0,6.093,0.302,97.0,calculation,numeric_or_unit
math\geometry3k,math_other,117,13.31,6.0,5.42,0.302,100.0,calculation,numeric_or_unit
math\geometry3k,circle_arc_chord,77,8.76,13.0,6.256,0.302,100.0,calculation,numeric_or_unit
math\geometry3k,area_perimeter,72,8.19,13.0,6.339,0.302,94.44,calculation,numeric_or_unit
math\geometry3k,diagram_variable_solving,41,4.66,9.0,5.788,0.302,95.12,calculation,numeric_or_unit
math\geometry3k,segment_length,34,3.87,14.5,6.327,0.302,91.18,calculation,numeric_or_unit
math\geometry3k,trigonometric_ratio,21,2.39,13.0,6.044,0.257,95.24,open,numeric_or_unit
math\geometry3k,coordinate_geometry,12,1.37,16.5,6.605,0.369,91.67,calculation,numeric_or_unit
math\geometry3k,similarity_congruence,5,0.57,8.0,5.655,0.302,100.0,calculation,formula_latex
math\geoqa_plus,geometry_angle_chasing,1435,51.88,34.0,7.899,0.338,99.79,multiple_choice,formula_latex
math\geoqa_plus,geometry_length_area_volume,633,22.89,40.0,8.008,0.347,100.0,open,numeric_or_unit
math\geoqa_plus,math_other,305,11.03,34.0,7.787,0.347,100.0,open,numeric_or_unit
math\geoqa_plus,visual_spatial_puzzle,80,2.89,32.0,7.807,0.347,100.0,open,numeric_or_unit
math\geoqa_plus,number_theory_arithmetic,63,2.28,38.0,7.984,0.383,100.0,open,numeric_or_unit
math\geoqa_plus,counting_probability_combinatorics,60,2.17,45.0,8.281,0.365,100.0,open,numeric_or_unit
math\geoqa_plus,coordinate_geometry_transform,59,2.13,37.0,7.861,0.347,100.0,open,numeric_or_unit
math\geoqa_plus,measurement_time_units,48,1.74,44.0,8.445,0.369,100.0,open,numeric_or_unit
math\geoqa_plus,sequence_pattern_logic,36,1.3,44.5,8.119,0.372,100.0,open,numeric_or_unit
math\geoqa_plus,statistics_data_analysis,33,1.19,44.0,8.471,0.392,100.0,open,numeric_or_unit
math\geoqa_plus,algebra_equation_inequality,12,0.43,26.0,7.333,0.392,100.0,open,numeric_or_unit
math\geoqa_plus,linear_programming_constraints,2,0.07,38.0,7.427,0.324,100.0,open,numeric_or_unit
math\mathvision,geometry_angle_chasing,908,48.32,40.0,7.675,0.356,80.95,multiple_choice,formula_latex
math\mathvision,geometry_length_area_volume,496,26.4,42.0,7.761,0.356,83.87,open,numeric_or_unit
math\mathvision,math_other,174,9.26,39.0,7.652,0.347,78.16,open,numeric_or_unit
math\mathvision,coordinate_geometry_transform,64,3.41,35.5,7.397,0.347,92.19,open,numeric_or_unit
math\mathvision,counting_probability_combinatorics,49,2.61,48.0,7.956,0.347,83.67,open,numeric_or_unit
math\mathvision,visual_spatial_puzzle,43,2.29,36.0,7.486,0.347,81.4,open,numeric_or_unit
math\mathvision,number_theory_arithmetic,42,2.24,32.5,7.71,0.369,83.33,open,numeric_or_unit
math\mathvision,measurement_time_units,36,1.92,44.0,7.963,0.349,86.11,open,numeric_or_unit
math\mathvision,statistics_data_analysis,32,1.7,45.5,7.969,0.374,78.12,open,numeric_or_unit
math\mathvision,sequence_pattern_logic,24,1.28,49.0,8.105,0.347,91.67,open,numeric_or_unit
math\mathvision,algebra_equation_inequality,11,0.59,25.0,7.004,0.356,90.91,open,numeric_or_unit
math\mm_math,geometry_angle_chasing,3510,83.0,44.0,7.895,0.41,96.95,open,formula_latex
math\mm_math,coordinate_geometry_transform,407,9.62,50.0,7.906,0.437,91.15,open,formula_latex
math\mm_math,geometry_length_area_volume,276,6.53,42.0,7.387,0.401,93.12,open,formula_latex
math\mm_math,algebra_equation_inequality,27,0.64,39.0,7.563,0.41,96.3,open,formula_latex
math\mm_math,visual_spatial_puzzle,5,0.12,19.0,6.796,0.311,100.0,open,short_text
math\mm_math,math_other,2,0.05,61.5,8.392,0.439,100.0,calculation,short_text
math\mm_math,measurement_time_units,1,0.02,77.0,8.744,0.347,100.0,open,formula_latex
math\mm_math,linear_programming_constraints,1,0.02,36.0,9.011,0.545,100.0,open,choice_label
math\scemqa_math,geometry_length_area_volume,44,23.28,44.5,7.523,0.365,77.27,multiple_choice,numeric_or_unit
math\scemqa_math,statistics_data_analysis,36,19.05,25.5,7.238,0.347,97.22,multiple_choice,numeric_or_unit
math\scemqa_math,math_other,35,18.52,29.0,7.444,0.392,71.43,multiple_choice,numeric_or_unit
math\scemqa_math,algebra_equation_inequality,35,18.52,25.0,7.562,0.365,100.0,multiple_choice,formula_latex
math\scemqa_math,coordinate_geometry_transform,12,6.35,19.0,7.143,0.347,100.0,multiple_choice,formula_latex
math\scemqa_math,counting_probability_combinatorics,11,5.82,66.0,8.629,0.415,81.82,multiple_choice,numeric_or_unit
math\scemqa_math,geometry_angle_chasing,10,5.29,38.5,7.336,0.392,70.0,multiple_choice,numeric_or_unit
math\scemqa_math,measurement_time_units,4,2.12,43.0,8.531,0.405,100.0,multiple_choice,multi_part_text
math\scemqa_math,visual_spatial_puzzle,2,1.06,66.5,8.814,0.41,100.0,multiple_choice,long_text
physics\emma_physics,mechanics_kinematics_dynamics,165,62.03,96.0,8.648,0.464,72.73,multiple_choice,numeric_or_unit
physics\emma_physics,electromagnetism_circuits,53,19.92,45.0,8.072,0.392,77.36,multiple_choice,formula_latex
physics\emma_physics,physics_other,23,8.65,32.0,7.562,0.365,86.96,multiple_choice,formula_latex
physics\emma_physics,waves_optics_sound,10,3.76,96.0,9.375,0.446,100.0,multiple_choice,numeric_or_unit
physics\emma_physics,thermo_fluids_gases,8,3.01,123.0,9.537,0.5,62.5,multiple_choice,formula_latex
physics\emma_physics,graph_data_interpretation,6,2.26,85.0,9.422,0.457,100.0,multiple_choice,numeric_or_unit
physics\emma_physics,modern_quantum_nuclear_relativity,1,0.38,12.0,5.935,0.352,100.0,multiple_choice,short_text
physics\multi_physics,mechanics_kinematics_dynamics,288,54.86,97.0,8.346,0.32,89.58,multiple_choice,long_text
physics\multi_physics,electromagnetism_circuits,141,26.86,83.0,8.266,0.311,89.36,multiple_choice,long_text
physics\multi_physics,physics_other,61,11.62,82.0,8.129,0.32,77.05,multiple_choice,long_text
physics\multi_physics,waves_optics_sound,15,2.86,82.0,8.358,0.302,86.67,multiple_choice,formula_latex
physics\multi_physics,graph_data_interpretation,8,1.52,59.0,7.813,0.324,100.0,multiple_choice,long_text
physics\multi_physics,astronomy_gravity_orbits,7,1.33,92.0,7.443,0.32,28.57,multiple_choice,long_text
physics\multi_physics,thermo_fluids_gases,4,0.76,46.0,7.827,0.302,100.0,multiple_choice,long_text
physics\multi_physics,modern_quantum_nuclear_relativity,1,0.19,81.0,8.524,0.302,100.0,multiple_choice,long_text
physics\physreason,mechanics_kinematics_dynamics,788,87.07,147.0,11.989,0.658,80.46,calculation,formula_latex
physics\physreason,electromagnetism_circuits,40,4.42,95.5,10.66,0.622,70.0,open,formula_latex
physics\physreason,waves_optics_sound,36,3.98,99.0,10.944,0.615,88.89,open,formula_latex
physics\physreason,physics_other,27,2.98,84.0,9.394,0.518,74.07,open,formula_latex
physics\physreason,thermo_fluids_gases,13,1.44,154.0,10.71,0.622,76.92,calculation,formula_latex
physics\physreason,graph_data_interpretation,1,0.11,124.0,10.912,0.541,100.0,open,formula_latex
physics\phyx,mechanics_kinematics_dynamics,506,44.42,57.0,8.601,0.437,100.0,multiple_choice,numeric_or_unit
physics\phyx,waves_optics_sound,198,17.38,56.0,8.441,0.437,100.0,multiple_choice,formula_latex
physics\phyx,thermo_fluids_gases,151,13.26,60.0,8.646,0.428,100.0,multiple_choice,numeric_or_unit
physics\phyx,physics_other,132,11.59,45.5,8.108,0.397,100.0,multiple_choice,formula_latex
physics\phyx,electromagnetism_circuits,130,11.41,42.5,8.109,0.423,100.0,multiple_choice,formula_latex
physics\phyx,modern_quantum_nuclear_relativity,10,0.88,38.5,7.883,0.387,100.0,multiple_choice,formula_latex
physics\phyx,graph_data_interpretation,10,0.88,28.0,7.303,0.378,100.0,multiple_choice,formula_latex
physics\phyx,astronomy_gravity_orbits,2,0.18,86.5,8.259,0.392,100.0,multiple_choice,formula_latex
physics\sciverse_physics,mechanics_kinematics_dynamics,146,61.09,83.5,8.79,0.401,100.0,multiple_choice,numeric_or_unit
physics\sciverse_physics,electromagnetism_circuits,34,14.23,51.0,8.322,0.392,100.0,multiple_choice,formula_latex
physics\sciverse_physics,physics_other,27,11.3,30.0,7.335,0.365,100.0,multiple_choice,formula_latex
physics\sciverse_physics,waves_optics_sound,21,8.79,78.0,8.521,0.365,100.0,multiple_choice,formula_latex
physics\sciverse_physics,graph_data_interpretation,5,2.09,69.0,9.761,0.446,100.0,multiple_choice,formula_latex
physics\sciverse_physics,thermo_fluids_gases,3,1.26,39.0,7.549,0.338,100.0,multiple_choice,formula_latex
physics\sciverse_physics,astronomy_gravity_orbits,2,0.84,72.0,7.744,0.302,100.0,multiple_choice,numeric_or_unit
physics\sciverse_physics,modern_quantum_nuclear_relativity,1,0.42,13.0,5.339,0.302,100.0,multiple_choice,short_text
physics\seephys,mechanics_kinematics_dynamics,767,51.17,87.0,8.75,0.383,89.44,calculation,formula_latex
physics\seephys,electromagnetism_circuits,323,21.55,64.0,8.607,0.383,93.81,calculation,formula_latex
physics\seephys,waves_optics_sound,169,11.27,70.0,8.698,0.392,94.08,calculation,formula_latex
physics\seephys,physics_other,156,10.41,63.0,8.22,0.347,91.03,calculation,formula_latex
physics\seephys,thermo_fluids_gases,52,3.47,81.5,8.768,0.356,84.62,calculation,formula_latex
physics\seephys,modern_quantum_nuclear_relativity,14,0.93,81.5,8.954,0.439,78.57,calculation,formula_latex
physics\seephys,graph_data_interpretation,12,0.8,36.5,7.644,0.338,100.0,calculation,formula_latex
physics\seephys,astronomy_gravity_orbits,6,0.4,51.5,8.812,0.329,83.33,calculation,formula_latex
