group,dataset_path,canonical_sample_id,sample_file,solution_category,question_unit_len,question_excerpt,complexity_index,node_count,visual_entity_count
longest_questions,physics\physreason,physreason00176,physreason00176.json,mechanics_kinematics_dynamics,741,"A Fabry-Perot (F-P) etalon, consisting of two high-reflectivity glass plates, is used to analyze light from a Sodium lamp. The etalon's air pressure is tunable, and its transmitivity is given by $T=\frac{1}{1+F \sin ^{2}",,,
longest_questions,physics\physreason,physreason00424,physreason00424.json,mechanics_kinematics_dynamics,677,"The fractional quantum Hall effect (FQHE) occurs in a two-dimensional electron system subjected to a strong perpendicular magnetic field. When a current is passed through the system, a quantized Hall resistance is observ",,,
longest_questions,physics\physreason,physreason00087,physreason00087.json,mechanics_kinematics_dynamics,615,"Analogy is an important scientific thinking method. In the history of physics, Faraday proposed the use of electric field lines to describe electric fields by drawing an analogy with the flow velocity lines of an incompr",,,
longest_questions,physics\physreason,physreason00132,physreason00132.json,mechanics_kinematics_dynamics,549,"A charged particle moving through a transparent medium with a speed *v* greater than the speed of light in that medium ($c/n$) emits Cherenkov radiation at an angle $\theta$ with respect to the particle's trajectory, giv",,,
longest_questions,physics\physreason,physreason00011,physreason00011.json,mechanics_kinematics_dynamics,507,"A horizontal metal ring with a radius of $r=0.2\mathsf{m}$ is fixed. Two metal rods, each with a length of $r$ and a resistance of $R_{0}$, are placed along the diameter of the ring. One end of each rod is in good contac",,,
longest_questions,physics\physreason,physreason00429,physreason00429.json,mechanics_kinematics_dynamics,502,"The two-slit electron interference experiment involves a monochromatic electron point source emitting particles at S, which pass through an electron ""biprism"" before impinging on an observational plane. The ""biprism"" con",,,
longest_questions,physics\physreason,physreason00291,physreason00291.json,mechanics_kinematics_dynamics,475,"A uniformly charged metallic ring of radius $R$ and total charge $q$ is analyzed. The ring is a hollow toroid of thickness $2a$, where $2a \ll R$. The $xy$ plane coincides with the plane of the ring, and the $z$-axis is ",,,
longest_questions,physics\physreason,physreason00658,physreason00658.json,mechanics_kinematics_dynamics,472,"This problem explores the van der Waals equation of state for real gases, focusing on water as an example. We will analyze deviations from ideal gas behavior due to finite molecular size and intermolecular forces, and de",,,
longest_questions,physics\physreason,physreason00615,physreason00615.json,mechanics_kinematics_dynamics,469,A proton with mass $m_p$ and energy $E_p$ collides head-on with a photon of energy $E_b$. The collision results in the formation of a new particle with mass $m_\Delta$. This is a one-dimensional collision that conserves ,,,
longest_questions,physics\physreason,physreason00367,physreason00367.json,mechanics_kinematics_dynamics,453,"A zero-length spring (ZLS) is characterized by a force proportional to its length, $F = kL$, for $L > L_0$, where $L_0$ is the unstretched length. The spring constant is $k$. We consider a homogeneous ZLS with weight $Mg",,,
longest_questions,physics\physreason,physreason00306,physreason00306.json,mechanics_kinematics_dynamics,451,"Traffic regulations stipulate that motor vehicles must yield to pedestrians. Once a pedestrian walks on the crosswalk to the lane division lines $A$, $B$, or $C$, the front of the motor vehicle must not cross the stop li",,,
longest_questions,physics\physreason,physreason00102,physreason00102.json,mechanics_kinematics_dynamics,437,"The Large Hadron Collider (LHC) at CERN accelerates protons to high energies, guiding them in a circular path using magnetic fields. The accelerated particles are collided to study the fundamental laws of nature. The fol",,,
longest_questions,physics\physreason,physreason00059,physreason00059.json,mechanics_kinematics_dynamics,420,"A capacitor with capacitance \( C \) is connected to a variable electromotive force DC power supply through the left side of a single-pole double-throw switch \( S \), and to two smooth horizontal metal rails \( M_1M_2P_",,,
longest_questions,physics\physreason,physreason00292,physreason00292.json,mechanics_kinematics_dynamics,417,"A spherical soap bubble with internal air density $\rho_{i}$, temperature $T_{i}$ and radius $R_{0}$ is surrounded by air with density $\rho_{a}$, atmospheric pressure $P_{a}$ and temperature $T_{a}$. The soap film has s",,,
longest_questions,physics\physreason,physreason00705,physreason00705.json,mechanics_kinematics_dynamics,417,"A certain ion thruster on a space station consists of an ion source, two parallel metal plates M and N with a small hole and a separation of $d$, and a cube with side length $L$. The rear surface $P$ of the cube serves a",,,
longest_questions,physics\seephys,seephys01412,seephys01412.json,mechanics_kinematics_dynamics,399,地球和月球的质量分别为$M_{\text{E}}$和$M_{\text{m}}$，两者中心的距离用$r$表示，月球可看作质点。设地球的自转轴和月球绕地球做圆周运动的转轴重合，都通过地球中心，地球和月球的角速度分别为$\omega_{\text{E}}$和$\omega_{\text{m}}$。由于潮汐运动，地球自转角速度会发生微小变化，从而地球和月球的间距以及地球和月球系统的总能量也将发生变化。地球和月球间距的时间变化率$\dot{r},,,
longest_questions,physics\physreason,physreason00036,physreason00036.json,electromagnetism_circuits,397,A Van de Graaff accelerator at Beloit College uses a charged aluminum sphere (dome) of radius $a=0.50$ m. The dome is charged by a rubber belt of width $w=0.10$ m moving at a speed of $v_b=20$ m/s. The accelerator column,,,
longest_questions,physics\physreason,physreason00573,physreason00573.json,mechanics_kinematics_dynamics,392,"When studying the structure of atomic nuclei, it is necessary to bombard the nuclei with particles of very high energy. To enable charged particles to attain such high energies, scientists have invented various types of ",,,
longest_questions,physics\physreason,physreason00766,physreason00766.json,mechanics_kinematics_dynamics,391,"As shown in figure (a), there are two small sliders A and B, each with a mass of $m$, on a rough, insulated horizontal plane. Their charges are $q$ ($q>0$) and $-q$, respectively. A light, smooth, insulated rod and a lig",,,
longest_questions,physics\physreason,physreason00664,physreason00664.json,mechanics_kinematics_dynamics,383,"The successful lunar landing and return of Chang'e-5 is inspiring. Xiaoming, knowing that there is no air on the Moon and thus no way to decelerate using parachutes, has designed a new type of landing device. This device",,,
longest_questions,physics\physreason,physreason00022,physreason00022.json,mechanics_kinematics_dynamics,375,"The working principle of a certain type of mass spectrometer is shown in Figure (1). M and N are two vertically placed metal plates with a voltage $U$ between them. Plate Q is the recording plate, and interface $P$ divid",,,
longest_questions,physics\physreason,physreason00461,physreason00461.json,mechanics_kinematics_dynamics,370,"A spherical cloud of sparse interstellar gas, initially at rest with radius $r_0$ and mass $m$, collapses due to its own gravity. The initial temperature of the gas and its surroundings is uniformly $T_0$. The gas is ass",,,
longest_questions,physics\physreason,physreason00813,physreason00813.json,mechanics_kinematics_dynamics,370,"A student designs an idealized model of a particle accelerator. In the $xOy$ plane, the region below the $x$-axis is filled with a uniform magnetic field perpendicular to the plane, pointing outwards. The region above th",,,
longest_questions,physics\physreason,physreason00372,physreason00372.json,mechanics_kinematics_dynamics,358,"Radiation pressure from the sun is responsible for cleaning out the inner solar system of small particles. The force of radiation on a spherical particle of radius $r$ is given by $F = P Q \pi r^2$, where $P$ is the radi",,,
longest_questions,biology\sciverse_biology,sciversebiology00053,sciversebiology00053.json,plant_biology,350,"经过一天的暴露后,烧瓶中的混合物的颜色变成了粉红色,后来的分析表明,至少10%的碳已转化为简单且复杂的有机化合物,包括至少11种不同的氨基酸和一些碱性糖。在混合物中未检测到核酸。1953年,斯坦利·米勒和哈罗德·乌雷在芝加哥大学进行了一项实验,以检验以下假设:早期地球的条件将有利于从基本前体中形成更大、更复杂的有机分子。该实验包括将密封的基本有机化学物质(代表原始地球的大气)置于烧瓶中,暴露于电火花(模拟闪电)和水蒸气中。有些氨基酸,例",,,
longest_questions,physics\physreason,physreason00899,physreason00899.json,mechanics_kinematics_dynamics,347,"A wooden board of mass $m_{1}=1\mathrm{kg}$ is initially at rest on a smooth horizontal surface. A light spring with a spring constant $k=20\mathsf{N}/\mathsf{m}$ is fixed to a vertical wall on the right side, and the sp",,,
longest_questions,physics\physreason,physreason00386,physreason00386.json,mechanics_kinematics_dynamics,344,"A police car with a length of $5\mathrm{m}$ is patrolling on the highway at a constant speed of $36\mathrm{km/h}$. At a certain moment, a large truck with a length of $20\mathrm{m}$ passes by the police car at a constant",,,
longest_questions,physics\physreason,physreason00815,physreason00815.json,mechanics_kinematics_dynamics,343,Xiaoming has designed a game where a frog catches a fly. Both the frog and the fly move within a vertical $xOy$ plane. The fly starts from rest at any position on the horizontal $x$-axis and undergoes uniformly accelerat,,,
longest_questions,physics\seephys,seephys00949,seephys00949.json,mechanics_kinematics_dynamics,339,"静长同为 $t_{0}$ 的三个飞船，在惯性系 $S$ 的 $t=0$ 时刻，相对 $S$ 系的空间位置和沿 $x$ 轴匀速运动的速度分布如图所示。具体而言，三个飞船在 $S$ 系中沿一直线航行，$t=0$ 时刻，飞船 1、2、3 头部分别位于图示 $P_{1}, P_{2}, P_{3}$ 位置，飞船 1、2、3 分别将自己头部时钟拨到本系内的时间零点。（注意：$S$ 系认为飞船 1、2、3 头部时钟同时拨到零点，但飞船 1、2、3 ",,,
longest_questions,physics\physreason,physreason00111,physreason00111.json,mechanics_kinematics_dynamics,336,"This problem explores the classical analog of spin, a fundamental property of matter. We investigate how a magnetic field influences the spin of a particle, represented by its magnetic moment. The torque on the magnetic ",,,
highest_complexity,physics\physreason,physreason00658,physreason00658.json,mechanics_kinematics_dynamics,,"This problem explores the van der Waals equation of state for real gases, focusing on water as an example. We will analyze deviations from ideal gas behavior due to finite molecular size and intermolecular forces, and de",30.5303,,
highest_complexity,physics\physreason,physreason00176,physreason00176.json,mechanics_kinematics_dynamics,,"A Fabry-Perot (F-P) etalon, consisting of two high-reflectivity glass plates, is used to analyze light from a Sodium lamp. The etalon's air pressure is tunable, and its transmitivity is given by $T=\frac{1}{1+F \sin ^{2}",30.3584,,
highest_complexity,physics\physreason,physreason00132,physreason00132.json,mechanics_kinematics_dynamics,,"A charged particle moving through a transparent medium with a speed *v* greater than the speed of light in that medium ($c/n$) emits Cherenkov radiation at an angle $\theta$ with respect to the particle's trajectory, giv",27.734,,
highest_complexity,physics\physreason,physreason00291,physreason00291.json,mechanics_kinematics_dynamics,,"A uniformly charged metallic ring of radius $R$ and total charge $q$ is analyzed. The ring is a hollow toroid of thickness $2a$, where $2a \ll R$. The $xy$ plane coincides with the plane of the ring, and the $z$-axis is ",26.9446,,
highest_complexity,physics\physreason,physreason00424,physreason00424.json,mechanics_kinematics_dynamics,,"The fractional quantum Hall effect (FQHE) occurs in a two-dimensional electron system subjected to a strong perpendicular magnetic field. When a current is passed through the system, a quantized Hall resistance is observ",24.9037,,
highest_complexity,physics\physreason,physreason00367,physreason00367.json,mechanics_kinematics_dynamics,,"A zero-length spring (ZLS) is characterized by a force proportional to its length, $F = kL$, for $L > L_0$, where $L_0$ is the unstretched length. The spring constant is $k$. We consider a homogeneous ZLS with weight $Mg",22.7113,,
highest_complexity,physics\physreason,physreason00036,physreason00036.json,electromagnetism_circuits,,A Van de Graaff accelerator at Beloit College uses a charged aluminum sphere (dome) of radius $a=0.50$ m. The dome is charged by a rubber belt of width $w=0.10$ m moving at a speed of $v_b=20$ m/s. The accelerator column,22.1363,,
highest_complexity,physics\physreason,physreason00615,physreason00615.json,mechanics_kinematics_dynamics,,A proton with mass $m_p$ and energy $E_p$ collides head-on with a photon of energy $E_b$. The collision results in the formation of a new particle with mass $m_\Delta$. This is a one-dimensional collision that conserves ,22.1228,,
highest_complexity,physics\physreason,physreason00011,physreason00011.json,mechanics_kinematics_dynamics,,"A horizontal metal ring with a radius of $r=0.2\mathsf{m}$ is fixed. Two metal rods, each with a length of $r$ and a resistance of $R_{0}$, are placed along the diameter of the ring. One end of each rod is in good contac",19.9348,,
highest_complexity,physics\physreason,physreason00102,physreason00102.json,mechanics_kinematics_dynamics,,"The Large Hadron Collider (LHC) at CERN accelerates protons to high energies, guiding them in a circular path using magnetic fields. The accelerated particles are collided to study the fundamental laws of nature. The fol",19.6223,,
highest_complexity,physics\physreason,physreason00087,physreason00087.json,mechanics_kinematics_dynamics,,"Analogy is an important scientific thinking method. In the history of physics, Faraday proposed the use of electric field lines to describe electric fields by drawing an analogy with the flow velocity lines of an incompr",18.7894,,
highest_complexity,biology\sciverse_biology,sciversebiology00066,sciversebiology00066.json,ecology_food_web_population,,"根据几年来对生态系统中几个营养水平的降雨量和生物量的测量结果(如下图所示),若降雨量为120英寸,请推测主要消费者的生物量范围是多少?  \begin{tikzpicture} \begin{axis}[  xlabel=降雨量 (英寸),  ylabel=生物量,  xmin=0, xmax=140,  ymin=0, ymax=250,  xtick={0,20,...,140},  ytick={0,50,...,250},  l",18.6706,,
highest_complexity,physics\physreason,physreason00429,physreason00429.json,mechanics_kinematics_dynamics,,"The two-slit electron interference experiment involves a monochromatic electron point source emitting particles at S, which pass through an electron ""biprism"" before impinging on an observational plane. The ""biprism"" con",18.5882,,
highest_complexity,physics\physreason,physreason00827,physreason00827.json,mechanics_kinematics_dynamics,,"A long metallic pipe with internal diameter $d$ is pointing directly downwards. Water (density $\rho$, surface tension $\sigma$) slowly drips from a nozzle at its lower end, forming droplets of radius $r$. Assume $d \ll ",18.3981,,
highest_complexity,physics\physreason,physreason00327,physreason00327.json,mechanics_kinematics_dynamics,,"Consider a three-body system. Two gravitating masses, $M$ and $m$, move in circular orbits of radii $R$ and $r$, respectively, about their common center of mass. A third body of infinitesimal mass $\mu$ is placed in a co",17.8219,,
highest_complexity,physics\physreason,physreason00292,physreason00292.json,mechanics_kinematics_dynamics,,"A spherical soap bubble with internal air density $\rho_{i}$, temperature $T_{i}$ and radius $R_{0}$ is surrounded by air with density $\rho_{a}$, atmospheric pressure $P_{a}$ and temperature $T_{a}$. The soap film has s",17.7655,,
highest_complexity,physics\physreason,physreason00899,physreason00899.json,mechanics_kinematics_dynamics,,"A wooden board of mass $m_{1}=1\mathrm{kg}$ is initially at rest on a smooth horizontal surface. A light spring with a spring constant $k=20\mathsf{N}/\mathsf{m}$ is fixed to a vertical wall on the right side, and the sp",17.3687,,
highest_complexity,physics\physreason,physreason00766,physreason00766.json,mechanics_kinematics_dynamics,,"As shown in figure (a), there are two small sliders A and B, each with a mass of $m$, on a rough, insulated horizontal plane. Their charges are $q$ ($q>0$) and $-q$, respectively. A light, smooth, insulated rod and a lig",17.2534,,
highest_complexity,physics\physreason,physreason00664,physreason00664.json,mechanics_kinematics_dynamics,,"The successful lunar landing and return of Chang'e-5 is inspiring. Xiaoming, knowing that there is no air on the Moon and thus no way to decelerate using parachutes, has designed a new type of landing device. This device",17.2505,,
highest_complexity,physics\physreason,physreason00306,physreason00306.json,mechanics_kinematics_dynamics,,"Traffic regulations stipulate that motor vehicles must yield to pedestrians. Once a pedestrian walks on the crosswalk to the lane division lines $A$, $B$, or $C$, the front of the motor vehicle must not cross the stop li",17.0881,,
highest_complexity,physics\physreason,physreason00461,physreason00461.json,mechanics_kinematics_dynamics,,"A spherical cloud of sparse interstellar gas, initially at rest with radius $r_0$ and mass $m$, collapses due to its own gravity. The initial temperature of the gas and its surroundings is uniformly $T_0$. The gas is ass",16.9942,,
highest_complexity,physics\physreason,physreason00177,physreason00177.json,mechanics_kinematics_dynamics,,A rocket in empty space propels itself forward by ejecting fuel backward. The fuel is ejected at a constant relative velocity $\mathbf{u}$ with respect to the rocket. The rate of fuel ejection is $\mu = \frac{dm}{dt} < 0,16.9343,,
highest_complexity,physics\physreason,physreason00493,physreason00493.json,mechanics_kinematics_dynamics,,A neuron's wall is an elastic membrane with spring constant $k$ and equilibrium thickness $d_0$. The membrane has a large area $A$ and negligible curvature. Ion pumps create uniform positive and negative charge layers ($,16.5874,,
highest_complexity,physics\physreason,physreason00092,physreason00092.json,mechanics_kinematics_dynamics,,"The horizontal conveyor belt has endpoints $A$ and $B$ separated by a distance $x=4\mathrm{m}$, and it rotates clockwise at a constant speed of $v_{0}=2\mathrm{m/s}$. A small block of mass $m=2\mathrm{kg}$ (which can be ",16.1663,,
highest_complexity,physics\physreason,physreason00120,physreason00120.json,mechanics_kinematics_dynamics,,"As shown in the figure, a horizontal conveyor belt rotates clockwise at a constant speed. The distance between the left and right ends is \( L = 3\,\mathrm{m} \). A small iron block with mass \( m = 0.1\,\mathrm{kg} \) (",16.0851,,
highest_complexity,physics\physreason,physreason00059,physreason00059.json,mechanics_kinematics_dynamics,,"A capacitor with capacitance \( C \) is connected to a variable electromotive force DC power supply through the left side of a single-pole double-throw switch \( S \), and to two smooth horizontal metal rails \( M_1M_2P_",16.0025,,
highest_complexity,physics\physreason,physreason00004,physreason00004.json,mechanics_kinematics_dynamics,,"Millikan proved the quantization of electric charge by observing the motion of oil droplets, for which he was awarded the Nobel Prize in Physics in 1923. The figure illustrates the principle of the Millikan oil-drop expe",15.984,,
highest_complexity,physics\physreason,physreason00573,physreason00573.json,mechanics_kinematics_dynamics,,"When studying the structure of atomic nuclei, it is necessary to bombard the nuclei with particles of very high energy. To enable charged particles to attain such high energies, scientists have invented various types of ",15.9677,,
